Settlement Date,G(i)
2016-06-15 00:00:00,0.0
2016-06-15 00:30:00,0.0
2016-06-15 01:00:00,0.0
2016-06-15 01:30:00,0.0
2016-06-15 02:00:00,0.0
2016-06-15 02:30:00,0.0
2016-06-15 03:00:00,0.0
2016-06-15 03:30:00,1.5
2016-06-15 04:00:00,3.0
2016-06-15 04:30:00,36.0
2016-06-15 05:30:00,109.5
2016-06-15 06:00:00,150.0
2016-06-15 06:30:00,239.0
2016-06-15 07:00:00,328.0
2016-06-15 07:30:00,369.0
2016-06-15 08:00:00,410.0
2016-06-15 08:30:00,329.5
2016-06-15 09:00:00,249.0
2016-06-15 09:30:00,217.0
2016-06-15 10:00:00,185.0
2016-06-15 10:30:00,199.0
2016-06-15 11:00:00,213.0
2016-06-15 11:30:00,215.5
2016-06-15 12:00:00,218.0
2016-06-15 12:30:00,201.5
2016-06-15 13:00:00,185.0
2016-06-15 13:30:00,197.0
2016-06-15 14:00:00,209.0
2016-06-15 14:30:00,298.5
2016-06-15 15:00:00,388.0
2016-06-15 15:30:00,297.0
2016-06-15 16:00:00,206.0
2016-06-15 16:30:00,272.0
2016-06-15 17:00:00,338.0
2016-06-15 17:30:00,278.0
2016-06-15 18:00:00,218.0
2016-06-15 18:30:00,129.5
2016-06-15 19:00:00,41.0
2016-06-15 19:30:00,27.0
2016-06-15 20:00:00,13.0
2016-06-15 20:30:00,6.5
2016-06-15 21:00:00,0.0
2016-06-15 21:30:00,0.0
2016-06-15 22:00:00,0.0
2016-06-15 22:30:00,0.0
2016-06-15 23:00:00,0.0
2016-06-15 23:30:00,0.0
