Settlement Date,Settlement Period,Gas,Coal,Oil,PumpedStorage,Hydro,Nuclear,Other,SolarUtility,WindOffshore,WindOnshore
01/01/2015,46,,,,,,,0,0,177.77,901.09
01/01/2015,47,,,,,,,0,0,177.77,901.09
01/01/2015,43,,,,,,,0,0,175.086,884.212
01/01/2015,44,,,,,,,0,0,176.365,884.043
01/01/2015,45,,,,,,,0,0,176.365,884.043
01/01/2015,42,,,,,,,0,0,182.754,883.544
01/01/2015,40,,,,,,,0,0,183.883,869.293
01/01/2015,41,,,,,,,0,0,183.883,869.293
01/01/2015,36,,,,,,,0,0,175.507,854.733
01/01/2015,37,,,,,,,0,0,175.507,854.733
01/01/2015,32,,,,,,,0,82,162.258,853.737
01/01/2015,33,,,,,,,0,62,162.258,853.737
01/01/2015,34,,,,,,,0,41,167.831,853.04
01/01/2015,35,,,,,,,0,0,167.831,853.04
01/01/2015,38,,,,,,,0,0,181.478,851.617
01/01/2015,39,,,,,,,0,0,181.478,851.617
01/01/2015,31,,,,,,,0,103,158.583,850.051
01/01/2015,30,,,,,,,0,26,165.007,839.156
01/01/2015,28,,,,,,,0,35,161.245,827.883
01/01/2015,29,,,,,,,0,30,161.245,827.883
01/01/2015,26,,,,,,,0,43,157.314,801.089
01/01/2015,27,,,,,,,0,39,157.314,801.089
01/01/2015,24,,,,,,,0,52,150.655,769.417
01/01/2015,25,,,,,,,0,48,150.655,769.417
01/01/2015,22,,,,,,,0,61,142.109,736.519
01/01/2015,23,,,,,,,0,56,142.109,736.519
01/01/2015,20,,,,,,,0,13,133.875,701.789
01/01/2015,21,,,,,,,0,65,133.875,701.789
01/01/2015,18,,,,,,,0,0,127.418,692.923
01/01/2015,19,,,,,,,0,14,127.901,689.746
01/01/2015,16,,,,,,,0,0,116.75,675.252
01/01/2015,17,,,,,,,0,0,116.75,675.252
01/01/2015,6,,,,,,,0,0,119.576,665.743
01/01/2015,4,,,,,,,0,0,117.089,664.494
01/01/2015,5,,,,,,,0,0,117.089,664.494
01/01/2015,7,,,,,,,0,0,114.095,662.535
01/01/2015,8,,,,,,,0,0,115.223,660.914
01/01/2015,9,,,,,,,0,0,115.223,660.914
01/01/2015,14,,,,,,,0,0,104.871,660.079
01/01/2015,15,,,,,,,0,0,104.871,660.079
01/01/2015,10,,,,,,,0,0,111.872,657.302
01/01/2015,11,,,,,,,0,0,111.872,657.302
01/01/2015,12,,,,,,,0,0,106.878,655.11
01/01/2015,13,,,,,,,0,0,106.878,655.11
01/01/2015,1,,,,,,,0,0,0,0
01/01/2015,2,,,,,,,0,0,0,0
01/01/2015,3,,,,,,,0,0,0,0
02/01/2015,4,,,,,,,0,0,179.213,920.977
02/01/2015,5,,,,,,,0,0,179.213,920.977
02/01/2015,6,,,,,,,0,0,176.481,907.556
02/01/2015,7,,,,,,,0,0,176.355,906.317
02/01/2015,8,,,,,,,0,0,172.565,883.724
02/01/2015,9,,,,,,,0,0,172.565,883.724
02/01/2015,10,,,,,,,0,0,170.184,867.944
02/01/2015,11,,,,,,,0,0,170.184,867.944
02/01/2015,12,,,,,,,0,0,168.707,858.478
02/01/2015,13,,,,,,,0,0,168.707,858.478
02/01/2015,14,,,,,,,0,0,167.903,846.841
02/01/2015,15,,,,,,,0,0,167.903,846.841
02/01/2015,16,,,,,,,0,0,165.17,823.516
02/01/2015,17,,,,,,,0,0,165.17,823.516
02/01/2015,26,,,,,,,0,842,155.93,811.844
02/01/2015,24,,,,,,,0,749,156.495,798.919
02/01/2015,25,,,,,,,0,913,156.495,798.919
02/01/2015,28,,,,,,,0,700,152.424,797.785
02/01/2015,29,,,,,,,0,629,152.424,797.785
02/01/2015,18,,,,,,,0,0,159.945,794.203
02/01/2015,19,,,,,,,0,18,158.495,788.788
02/01/2015,20,,,,,,,0,17,155.766,775.294
02/01/2015,21,,,,,,,0,16,155.766,775.294
02/01/2015,31,,,,,,,0,537,151.455,766.28
02/01/2015,22,,,,,,,0,422,155.372,763.458
02/01/2015,23,,,,,,,0,586,155.372,763.458
02/01/2015,30,,,,,,,0,642,146.185,755.154
02/01/2015,32,,,,,,,0,404,146.014,672.868
02/01/2015,33,,,,,,,0,272,146.014,672.868
02/01/2015,46,,,,,,,0,0,100.394,600.415
02/01/2015,47,,,,,,,0,0,100.394,600.415
02/01/2015,34,,,,,,,0,139,134.428,599.519
02/01/2015,35,,,,,,,0,6,134.428,599.519
02/01/2015,44,,,,,,,0,0,103.751,587.427
02/01/2015,45,,,,,,,0,0,103.751,587.427
02/01/2015,42,,,,,,,0,0,113.915,583.659
02/01/2015,43,,,,,,,0,0,106.476,564.69
02/01/2015,36,,,,,,,0,0,123.727,549.909
02/01/2015,37,,,,,,,0,0,123.727,549.909
02/01/2015,40,,,,,,,0,0,114.956,545.49
02/01/2015,41,,,,,,,0,0,114.956,545.49
02/01/2015,38,,,,,,,0,0,115.252,528.288
02/01/2015,39,,,,,,,0,0,115.252,528.288
