ggd_id,datetime_gmt,n_ggds,generation_mw,lcl_mw,ucl_mw,installedcapacity_mwp,capacity_mwp
0,2015-01-01T00:00:00Z,1,0,,,5309,5241
0,2015-01-01T00:30:00Z,1,0,,,5309,5241
0,2015-01-01T01:00:00Z,1,0,,,5309,5241
0,2015-01-01T01:30:00Z,1,0,,,5309,5241
0,2015-01-01T02:00:00Z,1,0,,,5309,5241
0,2015-01-01T02:30:00Z,1,0,,,5309,5241
0,2015-01-01T03:00:00Z,1,0,,,5309,5241
0,2015-01-01T03:30:00Z,1,0,,,5309,5241
0,2015-01-01T04:00:00Z,1,0,,,5309,5241
0,2015-01-01T04:30:00Z,1,0,,,5309,5241
0,2015-01-01T05:00:00Z,1,0,,,5309,5241
0,2015-01-01T05:30:00Z,1,0,,,5309,5241
0,2015-01-01T06:00:00Z,1,0,,,5309,5241
0,2015-01-01T06:30:00Z,1,0,,,5309,5241
0,2015-01-01T07:00:00Z,1,0,,,5309,5241
0,2015-01-01T07:30:00Z,1,0,,,5309,5241
0,2015-01-01T08:00:00Z,1,0,0,2.50E-05,5309,5241
0,2015-01-01T08:30:00Z,1,0.355,0.275,0.434,5309,5241
0,2015-01-01T09:00:00Z,1,3.04,2.76,3.32,5309,5241
0,2015-01-01T09:30:00Z,1,14.8,14.1,15.6,5309,5241
0,2015-01-01T10:00:00Z,1,42.2,40.9,43.5,5309,5241
0,2015-01-01T10:30:00Z,1,71.6,69.8,73.4,5309,5241
0,2015-01-01T11:00:00Z,1,75.8,74.2,77.3,5309,5241
0,2015-01-01T11:30:00Z,1,98.5,96.8,100,5309,5241
0,2015-01-01T12:00:00Z,1,123,121,126,5309,5241
0,2015-01-01T12:30:00Z,1,138,135,140,5309,5241
0,2015-01-01T13:00:00Z,1,164,161,168,5309,5241
0,2015-01-01T13:30:00Z,1,144,140,147,5309,5241
0,2015-01-01T14:00:00Z,1,117,113,120,5309,5241
0,2015-01-01T14:30:00Z,1,62.3,60.8,63.9,5309,5241
0,2015-01-01T15:00:00Z,1,28.9,28.1,29.8,5309,5241
0,2015-01-01T15:30:00Z,1,15.7,15.2,16.3,5309,5241
0,2015-01-01T16:00:00Z,1,2.77,2.57,2.97,5309,5241
0,2015-01-01T16:30:00Z,1,0.328,0.244,0.412,5309,5241
0,2015-01-01T17:00:00Z,1,0,0,0.106,5309,5241
0,2015-01-01T17:30:00Z,1,0,0,0.0995,5309,5241
0,2015-01-01T18:00:00Z,1,0,,,5309,5241
0,2015-01-01T18:30:00Z,1,0,,,5309,5241
0,2015-01-01T19:00:00Z,1,0,,,5309,5241
0,2015-01-01T19:30:00Z,1,0,,,5309,5241
0,2015-01-01T20:00:00Z,1,0,,,5309,5241
0,2015-01-01T20:30:00Z,1,0,,,5309,5241
0,2015-01-01T21:00:00Z,1,0,,,5309,5241
0,2015-01-01T21:30:00Z,1,0,,,5309,5241
0,2015-01-01T22:00:00Z,1,0,,,5309,5241
0,2015-01-01T22:30:00Z,1,0,,,5309,5241
0,2015-01-01T23:00:00Z,1,0,,,5309,5241
0,2015-01-01T23:30:00Z,1,0,,,5309,5241
0,2015-01-02T00:00:00Z,1,0,,,5309,5241
0,2015-01-02T00:30:00Z,1,0,,,5309,5241
0,2015-01-02T01:00:00Z,1,0,,,5309,5241
0,2015-01-02T01:30:00Z,1,0,,,5309,5241
0,2015-01-02T02:00:00Z,1,0,,,5309,5241
0,2015-01-02T02:30:00Z,1,0,,,5309,5241
0,2015-01-02T03:00:00Z,1,0,,,5309,5241
0,2015-01-02T03:30:00Z,1,0,,,5309,5241
0,2015-01-02T04:00:00Z,1,0,,,5309,5241
0,2015-01-02T04:30:00Z,1,0,,,5309,5241
0,2015-01-02T05:00:00Z,1,0,,,5309,5241
0,2015-01-02T05:30:00Z,1,0,,,5309,5241
0,2015-01-02T06:00:00Z,1,0,,,5309,5241
0,2015-01-02T06:30:00Z,1,0,,,5309,5241
0,2015-01-02T07:00:00Z,1,0,,,5309,5241
0,2015-01-02T07:30:00Z,1,0,,,5309,5241
0,2015-01-02T08:00:00Z,1,0,,,5309,5241
0,2015-01-02T08:30:00Z,1,0.171,0.134,0.208,5309,5241
0,2015-01-02T09:00:00Z,1,28.4,27.5,29.2,5309,5241
0,2015-01-02T09:30:00Z,1,236,230,241,5309,5241
0,2015-01-02T10:00:00Z,1,635,624,646,5309,5241
0,2015-01-02T10:30:00Z,1,1150,1140,1170,5309,5241
0,2015-01-02T11:00:00Z,1,1380,1360,1400,5309,5241
0,2015-01-02T11:30:00Z,1,1720,1700,1740,5309,5241
0,2015-01-02T12:00:00Z,1,1920,1900,1940,5309,5241
0,2015-01-02T12:30:00Z,1,1920,1900,1940,5309,5241
0,2015-01-02T13:00:00Z,1,1890,1870,1910,5309,5241
0,2015-01-02T13:30:00Z,1,1770,1760,1790,5309,5241
0,2015-01-02T14:00:00Z,1,1480,1470,1500,5309,5241
0,2015-01-02T14:30:00Z,1,1240,1220,1250,5309,5241
0,2015-01-02T15:00:00Z,1,876,863,888,5309,5241
0,2015-01-02T15:30:00Z,1,439,431,447,5309,5241
0,2015-01-02T16:00:00Z,1,125,122,128,5309,5241
0,2015-01-02T16:30:00Z,1,11.5,10.9,12.1,5309,5241
0,2015-01-02T17:00:00Z,1,0,0.219,0.32,5309,5241
0,2015-01-02T17:30:00Z,1,0,,,5309,5241
0,2015-01-02T18:00:00Z,1,0,,,5309,5241
0,2015-01-02T18:30:00Z,1,0,,,5309,5241
0,2015-01-02T19:00:00Z,1,0,,,5309,5241
0,2015-01-02T19:30:00Z,1,0,,,5309,5241
0,2015-01-02T20:00:00Z,1,0,,,5309,5241
0,2015-01-02T20:30:00Z,1,0,,,5309,5241
0,2015-01-02T21:00:00Z,1,0,,,5309,5241
0,2015-01-02T21:30:00Z,1,0,,,5309,5241
0,2015-01-02T22:00:00Z,1,0,,,5309,5241
0,2015-01-02T22:30:00Z,1,0,,,5309,5241
0,2015-01-02T23:00:00Z,1,0,,,5309,5241
0,2015-01-02T23:30:00Z,1,0,,,5309,5241
0,2015-01-03T00:00:00Z,1,0,,,5309,5241
