Site_Code,POC_Code,Nwk_Code,Gen_Code,Fuel_Code,Tech_Code,Trading_date,TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9,TP10,TP11,TP12,TP13,TP14,TP15,TP16,TP17,TP18,TP19,TP20,TP21,TP22,TP23,TP24,TP25,TP26,TP27,TP28,TP29,TP30,TP31,TP32,TP33,TP34,TP35,TP36,TP37,TP38,TP39,TP40,TP41,TP42,TP43,TP44,TP45,TP46,TP47,TP48,TP49,TP50
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2020-05-01,8340,8350,8370,8370,8330,8330,8360,8370,8370,8350,8330,8320,16440,22610,22580,22610,19340,26180,23010,13880,13870,13820,13820,13830,13770,13760,13840,13800,12390,11820,11880,11870,11680,11360,11310,8600,7810,7770,7770,7820,7810,7920,7860,7830,7830,7800,7870,7810,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2020-05-02,7890,7810,7850,7880,7950,7800,7830,7830,7870,7880,7890,7840,7810,8630,10810,10840,10850,10790,10820,10820,10760,9510,7860,7860,7810,7720,7810,7830,7770,7880,7860,7950,7940,7920,7830,7760,7870,7840,7850,7840,7840,7850,7830,7820,7890,7830,7910,7740,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2020-05-03,7890,7840,7850,7850,7870,7820,7870,7830,7850,7850,7840,7810,7870,7870,7850,7810,7850,7840,7840,7830,7790,7840,7800,7850,7900,7700,7810,7840,7840,7810,7840,7860,7810,7800,7730,7840,7750,7760,7910,7880,7830,7850,7870,7770,7950,10800,11230,11350,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2020-05-04,11290,11310,11330,11330,12570,12820,12830,12820,12830,12840,12840,12840,12860,12880,12920,12920,12740,9250,9280,9290,9250,9350,9270,9320,9220,9230,9280,9340,9290,9260,9310,9310,9340,9370,9290,9200,9150,9210,9320,9310,9300,9290,9360,8100,7830,7880,7880,7850,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2020-05-05,7880,7850,7800,7350,7370,7380,7400,7360,7360,7380,7340,7380,7350,7820,7790,7800,7800,7600,7840,7820,7820,7770,7790,9470,11630,12190,12180,12280,12240,12220,12270,12240,12770,26510,26640,26270,26180,26600,26520,26590,26580,26650,26900,26880,26880,26870,26840,26810,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2020-05-06,26800,25230,24670,24630,24730,24640,26370,23970,24580,25980,26000,25970,26260,26780,26780,26760,26760,26780,26790,26840,26860,26870,26880,26850,26860,26850,26870,26870,26860,26840,26840,26610,26140,26260,26870,26870,26830,26870,26860,26890,26880,26880,26880,21970,11850,11800,11840,11840,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2020-05-07,11820,11830,11820,11830,11840,11850,11800,11780,11810,11880,11740,11810,11820,11750,11820,11810,11790,11770,11800,11820,11780,11770,11780,11800,11810,11810,11750,11830,11730,11830,11820,11750,11760,11790,11490,10290,10320,10270,10240,10300,10330,10320,10350,10300,10320,10330,10420,10320,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2020-05-08,10310,10270,9840,9810,9820,9850,9850,9820,9830,9810,9190,8360,8390,8260,8250,8250,8300,8260,8290,8260,8200,8310,8300,8280,8300,8330,8200,8290,8140,8340,8400,8250,8270,8280,8310,8290,8240,8260,8310,8370,8350,8320,8380,8350,8310,8360,8380,8270,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2020-05-09,8360,8360,8310,8350,8310,8350,8350,8340,8350,8320,8360,8340,8290,8360,8300,8360,8360,8320,8330,8330,8340,8310,8350,8350,8340,8260,8330,8350,8350,8360,8360,8350,8360,8300,8390,8290,8280,8280,8290,8300,8370,8410,8370,8370,8320,8370,8400,8210,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2020-05-10,8340,8320,8410,8370,8480,8270,8180,8390,8370,8370,8380,8330,8360,8320,8360,8400,8340,8270,8300,8370,8290,8330,8320,8360,8380,8330,8300,8290,8330,8360,8350,8320,8350,8340,8320,8220,8330,8310,8290,8360,21030,23480,23660,23530,13070,12780,12860,12830,,
