Site_Code,POC_Code,Nwk_Code,Gen_Code,Fuel_Code,Tech_Code,Trading_date,TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9,TP10,TP11,TP12,TP13,TP14,TP15,TP16,TP17,TP18,TP19,TP20,TP21,TP22,TP23,TP24,TP25,TP26,TP27,TP28,TP29,TP30,TP31,TP32,TP33,TP34,TP35,TP36,TP37,TP38,TP39,TP40,TP41,TP42,TP43,TP44,TP45,TP46,TP47,TP48,TP49,TP50
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2020-02-01,8880,9910,10260,8940,10020,9590,8820,8840,9290,9330,9350,9370,9400,9350,9060,8800,9040,8790,7870,7910,7830,7870,7850,7840,7850,7850,7850,7850,7850,7850,7850,7870,7840,7840,7840,7860,7850,7860,7850,7870,7860,7820,7850,7840,7870,7840,7860,7890,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2020-02-02,8160,8010,7880,7860,7860,7850,7820,7870,7880,7830,7890,7840,7900,7860,7850,7920,7850,11420,11880,13720,25090,25000,23270,24220,24910,25010,25010,23520,22810,22800,25090,25090,25110,25160,25120,25140,23770,25080,25710,25720,25640,25690,15300,12950,12970,12980,12180,10340,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2020-02-03,8590,8340,8290,8180,7890,7850,7900,7770,7980,7780,7950,7770,11410,11170,12160,23820,24640,24620,24750,24780,24640,24700,24700,24710,24550,24710,24550,24590,24620,24670,24600,24640,24490,24650,24670,24580,24630,24600,24610,24670,24600,24660,24670,24660,24650,24600,24660,22930,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2020-02-04,13510,13380,13340,12940,12010,11870,11880,11820,11890,11830,12790,15090,21550,22530,24950,25950,26030,26250,26150,26090,25970,25990,26120,26110,25270,24640,24540,24690,24600,24640,24670,24660,24570,24700,24670,24590,24660,24620,24620,24640,24610,24670,24520,24780,24760,24730,24550,22050,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2020-02-05,24590,25130,23090,24560,14430,10620,10330,10900,11340,11370,11950,13230,17520,22310,22160,21990,22080,22190,22140,22190,22120,13400,11280,11300,11300,11330,20840,24380,22650,22750,22890,25070,25000,25150,24600,24160,24120,24200,24110,22980,22140,22190,22180,22080,22250,22160,22260,13510,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2020-02-06,11960,11870,10990,10370,11270,11120,10380,10350,10320,10330,10340,10420,11300,11230,11410,11370,11390,11290,11350,12200,12950,12980,12730,11810,11780,11850,11850,11840,11820,11900,11840,10920,10840,10860,10830,10810,10830,10850,10790,10840,10830,10840,10830,10830,10840,10340,8880,8750,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2020-02-07,8880,8910,8910,8860,8860,8850,8840,8840,8880,8860,8840,8830,8870,9310,11080,11770,11770,11750,11800,12560,12870,12890,12930,12940,12870,12900,12970,13060,20420,23640,23530,22580,22680,22680,22530,24240,23630,25070,25100,25140,25120,25110,23980,23690,23660,23690,23700,18580,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2020-02-08,12910,12950,12960,12960,12960,11420,9010,8850,8820,8880,8900,8810,8750,8810,8900,10860,11480,11290,12250,12850,12890,12940,13000,13040,12970,13030,13070,13060,12960,12190,10850,10840,10840,10570,8860,8800,8880,8860,8840,8860,8820,8840,8870,8870,8850,8840,8860,8860,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2020-02-09,8910,8740,8850,8860,8850,8840,8850,8860,8890,8850,9840,7850,7830,7820,7970,7850,7850,7770,7910,7830,7860,7850,7870,7860,7840,7840,7830,7810,7870,7880,7820,7870,9480,12980,12980,12980,18000,19940,22610,22670,22560,25530,25530,25540,25520,25510,23790,14160,,
ARA,ARA2201,MRPL,aratiatia,Hydro,Hydro,2020-02-10,11670,11340,11300,8060,7850,7900,7780,7720,8060,10730,11580,13010,24580,25580,25530,24350,24650,24650,23840,22160,22130,22190,22180,22160,21990,22300,22210,22100,22130,22210,22200,22210,22140,22160,22050,22200,22080,22180,22140,22320,22680,22700,22750,22640,22620,20710,13780,11830,,
