ggd_id,datetime_gmt,n_ggds,generation_mw,lcl_mw,ucl_mw,installedcapacity_mwp,capacity_mwp
0,2020-01-01T00:00:00Z,1,0,,,13080,12550
0,2020-01-01T00:30:00Z,1,0,0,0.00751,13080,12550
0,2020-01-01T01:00:00Z,1,0,,,13080,12550
0,2020-01-01T01:30:00Z,1,0,0,0.00516,13080,12550
0,2020-01-01T02:00:00Z,1,0,,,13080,12550
0,2020-01-01T02:30:00Z,1,0,0,0.00556,13080,12550
0,2020-01-01T03:00:00Z,1,0,0,0.00949,13080,12550
0,2020-01-01T03:30:00Z,1,0,0,0.0161,13080,12550
0,2020-01-01T04:00:00Z,1,0,,,13080,12550
0,2020-01-01T04:30:00Z,1,0,0,0.00832,13080,12550
0,2020-01-01T05:00:00Z,1,0,0,0.00656,13080,12550
0,2020-01-01T05:30:00Z,1,0,0,0.0282,13080,12550
0,2020-01-01T06:00:00Z,1,0,0,0.00604,13080,12550
0,2020-01-01T06:30:00Z,1,0,0,0.018,13080,12550
0,2020-01-01T07:00:00Z,1,0,0,0.0365,13080,12550
0,2020-01-01T07:30:00Z,1,0,0,0.017,13080,12550
0,2020-01-01T08:00:00Z,1,0,0,0.00716,13080,12550
0,2020-01-01T08:30:00Z,1,2.82,2.58,3.07,13080,12550
0,2020-01-01T09:00:00Z,1,44.3,42.9,45.7,13080,12550
0,2020-01-01T09:30:00Z,1,265,257,272,13080,12550
0,2020-01-01T10:00:00Z,1,614,599,629,13080,12550
0,2020-01-01T10:30:00Z,1,897,876,918,13080,12550
0,2020-01-01T11:00:00Z,1,1080,1060,1100,13080,12550
0,2020-01-01T11:30:00Z,1,1080,1050,1100,13080,12550
0,2020-01-01T12:00:00Z,1,1080,1050,1100,13080,12550
0,2020-01-01T12:30:00Z,1,1060,1040,1090,13080,12550
0,2020-01-01T13:00:00Z,1,1120,1090,1140,13080,12550
0,2020-01-01T13:30:00Z,1,850,833,867,13080,12550
0,2020-01-01T14:00:00Z,1,693,676,709,13080,12550
0,2020-01-01T14:30:00Z,1,458,446,470,13080,12550
0,2020-01-01T15:00:00Z,1,241,234,247,13080,12550
0,2020-01-01T15:30:00Z,1,62.5,60.4,64.6,13080,12550
0,2020-01-01T16:00:00Z,1,6.66,6.2,7.12,13080,12550
0,2020-01-01T16:30:00Z,1,0.0569,0.0417,0.0721,13080,12550
0,2020-01-01T17:00:00Z,1,0,0,3.74E-05,13080,12550
0,2020-01-01T17:30:00Z,1,0,0,0.108,13080,12550
0,2020-01-01T18:00:00Z,1,0,0,0.0129,13080,12550
0,2020-01-01T18:30:00Z,1,0,0,0.0265,13080,12550
0,2020-01-01T19:00:00Z,1,0,,,13080,12550
0,2020-01-01T19:30:00Z,1,0,0,0.0187,13080,12550
0,2020-01-01T20:00:00Z,1,0,0,0.0112,13080,12550
0,2020-01-01T20:30:00Z,1,0,,,13080,12550
0,2020-01-01T21:00:00Z,1,0,0,0.0262,13080,12550
0,2020-01-01T21:30:00Z,1,0,,,13080,12550
0,2020-01-01T22:00:00Z,1,0,,,13080,12550
0,2020-01-01T22:30:00Z,1,0,,,13080,12550
0,2020-01-01T23:00:00Z,1,0,,,13080,12550
0,2020-01-01T23:30:00Z,1,0,0,0.00051,13080,12550
0,2020-01-02T00:00:00Z,1,0,,,13080,12550
0,2020-01-02T00:30:00Z,1,0,,,13080,12550
0,2020-01-02T01:00:00Z,1,0,,,13080,12550
0,2020-01-02T01:30:00Z,1,0,,,13080,12550
0,2020-01-02T02:00:00Z,1,0,,,13080,12550
0,2020-01-02T02:30:00Z,1,0,0,0.000746,13080,12550
0,2020-01-02T03:00:00Z,1,0,,,13080,12550
0,2020-01-02T03:30:00Z,1,0,,,13080,12550
0,2020-01-02T04:00:00Z,1,0,,,13080,12550
0,2020-01-02T04:30:00Z,1,0,,,13080,12550
0,2020-01-02T05:00:00Z,1,0,,,13080,12550
0,2020-01-02T05:30:00Z,1,0,,,13080,12550
0,2020-01-02T06:00:00Z,1,0,,,13080,12550
0,2020-01-02T06:30:00Z,1,0,,,13080,12550
0,2020-01-02T07:00:00Z,1,0,,,13080,12550
