Settlement Date,G(i)
2016-06-01 00:00:00,0.0
2016-06-01 00:30:00,0.0
2016-06-01 01:00:00,0.0
2016-06-01 01:30:00,0.0
2016-06-01 02:00:00,0.0
2016-06-01 02:30:00,0.0
2016-06-01 03:00:00,0.0
2016-06-01 03:30:00,3.5
2016-06-01 04:00:00,7.0
2016-06-01 04:30:00,32.0
2016-06-01 05:00:00,57.0
2016-06-01 05:30:00,107.5
2016-06-01 06:00:00,158.0
2016-06-01 06:30:00,204.0
2016-06-01 07:00:00,250.0
2016-06-01 07:30:00,224.0
2016-06-01 08:00:00,198.0
2016-06-01 08:30:00,179.0
2016-06-01 09:00:00,160.0
2016-06-01 09:30:00,178.0
2016-06-01 10:00:00,196.0
2016-06-01 10:30:00,183.0
2016-06-01 11:00:00,170.0
2016-06-01 11:30:00,216.5
2016-06-01 12:00:00,263.0
2016-06-01 12:30:00,195.0
2016-06-01 13:00:00,127.0
2016-06-01 13:30:00,136.5
2016-06-01 14:00:00,146.0
2016-06-01 14:30:00,139.5
2016-06-01 15:00:00,133.0
2016-06-01 15:30:00,139.0
2016-06-01 16:00:00,145.0
2016-06-01 16:30:00,118.0
2016-06-01 17:00:00,91.0
2016-06-01 17:30:00,87.0
2016-06-01 18:00:00,83.0
2016-06-01 18:30:00,88.0
2016-06-01 19:00:00,93.0
2016-06-01 19:30:00,46.5
2016-06-01 20:00:00,0.0
2016-06-01 20:30:00,0.0
2016-06-01 21:00:00,0.0
2016-06-01 21:30:00,0.0
2016-06-01 22:00:00,0.0
2016-06-01 22:30:00,0.0
2016-06-01 23:00:00,0.0
2016-06-01 23:30:00,0.0
