1000W,,800W,,600W,,400W,,200W,
X,Y,X,Y,X,Y,X,Y,X,Y
0.212583637,11.47979989,0.401607253,9.349836925,0.156881026,7.189560775,0.296594133,5.044192342,0.272517954,2.987302518
0.653638741,11.4767284,0.842662357,9.348186387,0.611633493,7.196189364,0.737649237,5.044192342,0.731648487,2.993051855
1.094693845,11.4767284,1.283717461,9.348186387,1.052688597,7.196189364,1.178704341,5.044192342,1.17129165,2.995328371
1.535748949,11.4767284,1.724772565,9.348186387,1.493743701,7.196189364,1.619759445,5.044192342,1.598756821,2.979453535
1.976804053,11.4767284,2.165827669,9.348186387,1.934798805,7.196189364,2.060814549,5.044192342,2.039811925,2.979034696
2.417859157,11.4767284,2.606882773,9.348186387,2.375853909,7.196189364,2.501869653,5.044192342,2.480867029,2.98057044
2.858914261,11.4767284,3.047937877,9.348186387,2.816909013,7.196189364,2.942924757,5.044192342,2.921922133,2.980151601
3.299969365,11.4767284,3.48899298,9.348186387,3.257964117,7.196189364,3.38397986,5.044192342,3.362977237,2.978895082
3.741024468,11.4767284,3.930048084,9.348186387,3.69901922,7.196189364,3.825034964,5.044192342,3.80403234,2.983781543
4.182079572,11.4767284,4.371103188,9.348186387,4.140074324,7.196189364,4.266090068,5.044192342,4.245087444,2.983641929
4.623134676,11.4767284,4.812158292,9.348186387,4.581129428,7.196189364,4.707145172,5.044192342,4.686142548,2.9854569
5.06418978,11.4767284,5.253213396,9.348186387,5.022184532,7.196189364,5.148200276,5.044192342,5.127197652,2.969680615
5.505244884,11.4767284,5.6942685,9.348186387,5.463239636,7.196189364,5.58925538,5.044192342,5.568252756,2.968424097
5.946299988,11.4767284,6.135323604,9.348186387,5.90429474,7.196189364,6.030310484,5.044192342,6.00930786,2.986853032
6.387355092,11.4767284,6.576378708,9.348186387,6.345349844,7.196189364,6.471365588,5.044192342,6.459114057,2.959595892
6.828410196,11.4767284,7.017433812,9.348186387,6.786404948,7.196189364,6.912420692,5.044192342,6.891418068,2.930309708
7.2694653,11.4767284,7.458488916,9.348186387,7.227460052,7.196189364,7.353475796,5.044192342,7.323547057,2.927671019
7.710520404,11.4767284,7.89954402,9.348186387,7.668515156,7.196189364,7.7945309,5.044192342,7.772653166,2.961094406
8.151575508,11.4767284,8.340599124,9.348186387,8.10957026,7.196189364,8.235586004,5.044192342,8.220003412,2.940240256
8.592630612,11.4767284,8.781654227,9.348186387,8.550625364,7.196189364,8.676641107,5.044192342,8.662413523,2.940240256
9.033685715,11.4767284,9.222709331,9.348186387,8.991680467,7.196189364,9.117696211,5.044192342,9.114095762,2.958495397
9.474740819,11.4767284,9.663764435,9.348186387,9.432735571,7.196189364,9.558751315,5.044192342,9.537748691,2.994392142
9.915795923,11.4767284,10.10481954,9.348186387,9.873790675,7.196189364,9.999806419,5.044192342,9.978803795,2.988528389
10.35685103,11.4767284,10.54587464,9.348186387,10.31484578,7.196189364,10.44086152,5.044192342,10.4198589,2.984339995
10.79790613,11.4767284,10.98692975,9.348186387,10.75590088,7.196189364,10.88191663,5.044192342,10.860914,2.976137723
11.23896124,11.4767284,11.42798485,9.348186387,11.19695599,7.196189364,11.32297173,5.044192342,11.30196911,2.95837195
11.68001634,11.4767284,11.86903995,9.348186387,11.63801109,7.196189364,11.76402683,5.044192342,11.74302421,2.954602395
12.12107144,11.4767284,12.31009506,9.348186387,12.07906619,7.196189364,12.20508194,5.044192342,12.18407931,2.949995161
12.56212655,11.4767284,12.75115016,9.348186387,12.5201213,7.196189364,12.64613704,5.044192342,12.62513442,2.947342512
13.00318165,11.4767284,13.19220527,9.348186387,12.9611764,7.196189364,13.08719215,5.044192342,13.06618952,2.941199533
13.44423675,11.4767284,13.63326037,9.348186387,13.40223151,7.196189364,13.52824725,5.044192342,13.50724463,2.937569591
13.88529186,11.4767284,14.07431547,9.348186387,13.84328661,7.196189364,13.96930235,5.044192342,13.94829973,2.93393965
14.32634696,11.4767284,14.51537058,9.348186387,14.28434171,7.196189364,14.41035746,5.044192342,14.38935483,2.920676401
14.76740207,11.4767284,14.95642568,9.348186387,14.72539682,7.196189364,14.85141256,5.044192342,14.81482735,2.925864605
15.20845717,11.4767284,15.39748079,9.348186387,15.16645192,7.196189364,15.29246767,5.044192342,15.25685452,2.95746143
15.64951227,11.4767284,15.83853589,9.348186387,15.60750703,7.196189364,15.73352277,5.044192342,15.71541706,2.941127319
16.09056738,11.4767284,16.27959099,9.348186387,16.04856213,7.196189364,16.17457787,5.044192342,16.13713841,2.968169151
16.53162248,11.4767284,16.7206461,9.348186387,16.48961723,7.196189364,16.61563298,5.044192342,16.60663185,2.956277753
16.97267759,11.4767284,17.1617012,9.348186387,16.93067234,7.196189364,17.05668808,5.044192342,17.03646333,2.960822936
17.41373269,11.4767284,17.60275631,9.348186387,17.37172744,7.196189364,17.49774319,5.044192342,17.48186315,2.926376703
17.85478779,11.4767284,18.04381141,9.348186387,17.81278255,7.196189364,17.93879829,5.044192342,17.91779567,2.934916942
18.2958429,11.4767284,18.48486651,9.348186387,18.25383765,7.196189364,18.37985339,5.044192342,18.35885077,2.948738643
18.736898,11.4767284,18.92592162,9.348186387,18.69489275,7.196189364,18.8209085,5.044192342,18.79990587,2.962699958
19.17795311,11.4767284,19.36697672,9.348186387,19.13594786,7.196189364,19.2619636,5.044192342,19.24096098,2.968284483
19.61900821,11.4767284,19.80803183,9.348186387,19.57700296,7.196189364,19.70301871,5.044192342,19.68201608,2.964096089
20.06006331,11.4767284,20.24908693,9.348186387,20.01805807,7.196189364,20.14407381,5.044192342,20.10433912,2.978249843
20.50111842,11.4767284,20.69014203,9.348186387,20.45911317,7.196189364,20.58512891,5.044192342,20.56412629,2.98587574
20.94217352,11.4767284,21.13119714,9.348186387,20.90016827,7.196189364,21.02618402,5.044192342,21.00518139,2.982943864
21.38322863,11.4767284,21.57225224,9.348186387,21.34122338,7.196189364,21.46723912,5.044192342,21.4462365,2.978476243
21.82428373,11.4767284,22.01330734,9.348186387,21.78227848,7.196189364,21.90829422,5.044192342,21.89241419,2.95254906
