1000W,,800W,,600W,,400W,,200W,
X,Y,X,Y,X,Y,X,Y,X,Y
0.25,10.415808974886799,0.25,8.21325648414981,0.25,6.360642738156109,0.25,4.219844055570716,0.25,2.133804435020769
0.5,10.415808974886799,0.5,8.213256484149811,0.5,6.360642239604621,0.5,4.219843557019237,0.5,2.161393692304829
0.75,10.415808974886799,0.75,8.21325648414981,0.75,6.3606422396047515,0.75,4.219843594979263,0.75,2.133945976269347
1,10.415808974886799,1,8.213256484149811,1,6.360642239604752,1,4.2305293368707915,1,2.1614391595782116
1.25,10.415808974886799,1.25,8.21325648414981,1.25,6.360642239604752,1.25,4.230135858211188,1.25,2.1335143228309956
1.4999999999999996,10.415808974886799,1.4999999999999996,8.213256484149811,1.4999999999999996,6.3606422396047515,1.4999999999999996,4.230135858377944,1.4999999999999996,2.1618976061512054
1.7499999999999996,10.415808974886799,1.7499999999999996,8.21325648414981,1.7499999999999996,6.3606422396047515,1.7499999999999996,4.230135858377944,1.7499999999999996,2.1437283731278463
1.9999999999999996,10.415808974886799,1.9999999999999996,8.21325648414981,1.9999999999999996,6.3606422396047515,1.9999999999999996,4.230135858377944,1.9999999999999996,2.162691009391752
2.2499999999999996,10.415808974886799,2.2499999999999996,8.21325648414981,2.2499999999999996,6.3606422396047515,2.2499999999999996,4.230135858377944,2.2499999999999996,2.147302233198509
2.4999999999999996,10.415808974886799,2.4999999999999996,8.213256484149811,2.4999999999999996,6.360642239604752,2.4999999999999996,4.230135858377944,2.4999999999999996,2.1328408841327278
2.7499999999999996,10.415808974886799,2.7499999999999996,8.21325648414981,2.7499999999999996,6.36064223960475,2.7499999999999996,4.230135858377945,2.7499999999999996,2.139535702777044
2.9999999999999996,10.415808974886799,2.9999999999999996,8.213256484149811,2.9999999999999996,6.360642239018397,2.9999999999999996,4.230135858377945,2.9999999999999996,2.1412485723328576
3.2499999999999996,10.415808974886799,3.2499999999999996,8.21325648414981,3.2499999999999996,6.360986273101912,3.2499999999999996,4.230135858377944,3.2499999999999996,2.1614293725732594
3.4999999999999996,10.415808974886799,3.4999999999999996,8.21325648414986,3.4999999999999996,6.3709345304066884,3.4999999999999996,4.230135858377944,3.4999999999999996,2.1340992323187304
3.7499999999999996,10.415808974886799,3.7499999999999996,8.213256334126477,3.7499999999999996,6.370934540963274,3.7499999999999996,4.230135858377945,3.7499999999999996,2.162665546100806
3.9999999999999996,10.415808974886799,3.9999999999999996,8.223440918621947,3.9999999999999996,6.370934540963335,3.9999999999999996,4.230135858377944,3.9999999999999996,2.133809222833735
4.25,10.415808974886799,4.25,8.223548785423713,4.25,6.370934540963335,4.25,4.230135858377944,4.25,2.161447656784267
4.5,10.415808974886767,4.5,8.223548785508404,4.5,6.3709345409633045,4.5,4.230135858377912,4.5,2.1339909969239272
4.75,10.415808953684742,4.75,8.223548764306337,4.75,6.370934519761278,4.75,4.230135837175887,4.75,2.161491583250955
5,10.429943257750152,5,8.237683068371748,5,6.3850688238266855,5,4.244270141241293,5,2.148111485952187
5.25,10.436393577944598,5.25,8.244133386954314,5.25,6.3915191440211325,5.25,4.250720461435741,5.25,2.1820519893577117
5.499999999999998,10.436393577603964,5.499999999999998,8.24413338822558,5.499999999999998,6.391519143680498,5.499999999999998,4.250720461095106,5.499999999999998,2.153254520777148
5.75,10.436393577603967,5.75,8.244133388225563,5.75,6.391519143680503,5.75,4.2507204610951135,5.75,2.1831765540362227
6,10.436393577603967,6,8.244133388225563,6,6.391519143680504,6,4.2507204610951135,6,2.1578333739315276
6.25,10.436393577603967,6.25,8.244133388225563,6.25,6.391519143680504,6.25,4.2507204610951135,6.25,2.166527905527312
6.5,10.436393577603967,6.5,8.244133388225563,6.5,6.391519143680503,6.5,4.250720461095112,6.5,2.1680920216070465
