Settlement Date,Biomass,Fossil Gas,Fossil Hard coal,Fossil Oil,Hydro Pumped Storage,Hydro Run-of-river and poundage,Nuclear,Other,Solar,Wind Offshore,Wind Onshore
2019-12-01 00:30:00,2435.0,11750.0,680.0,0.0,150.0,320.0,7473.0,181.0,0.0,1758.988,919.556
2019-12-01 01:00:00,2437.0,11836.0,680.0,0.0,0.0,319.0,7470.0,151.0,0.0,1713.197,924.595
2019-12-01 01:30:00,2388.0,11870.0,680.0,0.0,0.0,318.0,7458.0,146.0,0.0,1653.19,926.105
2019-12-01 02:00:00,2371.0,11088.0,680.0,0.0,0.0,318.0,7474.0,145.0,0.0,1699.926,917.367
2019-12-01 02:30:00,2386.0,10757.0,680.0,0.0,0.0,316.0,7459.0,145.0,0.0,1710.267,944.942
2019-12-01 03:00:00,2409.0,10724.0,680.0,0.0,0.0,216.0,7473.0,144.0,0.0,1797.079,930.323
2019-12-01 03:30:00,2442.0,10490.0,681.0,0.0,0.0,195.0,7471.0,146.0,0.0,1874.098,979.66
2019-12-01 04:00:00,2384.0,10091.0,680.0,0.0,0.0,194.0,7480.0,146.0,0.0,1988.633,1051.81
2019-12-01 04:30:00,2385.0,9728.0,679.0,0.0,0.0,195.0,7466.0,147.0,0.0,2253.276,1114.988
2019-12-01 05:00:00,2420.0,9266.0,681.0,0.0,0.0,195.0,7464.0,148.0,0.0,2307.093,1151.542
2019-12-01 05:30:00,2390.0,9287.0,679.0,0.0,0.0,196.0,7472.0,149.0,0.0,2438.071,1222.887
2019-12-01 06:00:00,2388.0,9384.0,677.0,0.0,0.0,195.0,7465.0,148.0,0.0,2533.72,1310.571
2019-12-01 06:30:00,2439.0,9299.0,679.0,0.0,0.0,194.0,7469.0,138.0,0.0,2702.268,1500.133
2019-12-01 07:00:00,2436.0,9550.0,680.0,0.0,0.0,204.0,7466.0,136.0,0.0,2702.821,1495.825
2019-12-01 07:30:00,2437.0,10726.0,680.0,0.0,0.0,256.0,7453.0,136.0,0.0,2893.043,1551.606
2019-12-01 08:00:00,2432.0,12375.0,679.0,0.0,0.0,277.0,7471.0,135.0,0.0,3034.169,1540.487
2019-12-01 08:30:00,2436.0,13198.0,687.0,0.0,0.0,301.0,7460.0,135.0,38.0,3123.273,1559.552
2019-12-01 09:00:00,2434.0,14403.0,695.0,0.0,0.0,301.0,7461.0,134.0,277.0,3083.552,1640.569
2019-12-01 09:30:00,2438.0,14971.0,678.0,0.0,45.0,387.0,7454.0,142.0,798.0,3098.023,1688.339
2019-12-01 10:00:00,2433.0,16141.0,671.0,0.0,0.0,455.0,7453.0,136.0,1370.0,2822.946,1589.492
2019-12-01 10:30:00,2436.0,16572.0,685.0,0.0,0.0,553.0,7458.0,153.0,1920.0,2841.919,1536.743
2019-12-01 11:00:00,2436.0,17327.0,696.0,0.0,0.0,587.0,7454.0,150.0,2380.0,2449.18,1554.55
2019-12-01 11:30:00,2426.0,17511.0,692.0,0.0,0.0,637.0,7447.0,149.0,2920.0,2413.484,1501.699
2019-12-01 12:00:00,2550.0,17337.0,713.0,0.0,0.0,637.0,7463.0,149.0,3150.0,2243.588,1567.16
2019-12-01 12:30:00,2736.0,17153.0,731.0,0.0,0.0,601.0,7465.0,150.0,3180.0,2287.536,1676.179
2019-12-01 13:00:00,3031.0,16875.0,778.0,0.0,0.0,608.0,7463.0,149.0,3040.0,2287.452,1782.513
2019-12-01 13:30:00,3050.0,16602.0,834.0,0.0,0.0,575.0,7466.0,148.0,2710.0,2359.715,1806.724
2019-12-01 14:00:00,3084.0,16409.0,1088.0,0.0,0.0,423.0,7466.0,148.0,2230.0,2531.956,1879.757
2019-12-01 14:30:00,3075.0,16191.0,1151.0,0.0,0.0,343.0,7467.0,156.0,1610.0,2839.691,2052.622
2019-12-01 15:00:00,3065.0,16487.0,1347.0,0.0,0.0,337.0,7466.0,147.0,941.0,3026.219,2166.323
2019-12-01 15:30:00,3052.0,16700.0,1394.0,0.0,0.0,338.0,7458.0,147.0,404.0,3624.28,2275.554
2019-12-01 16:00:00,2956.0,17744.0,1583.0,0.0,0.0,339.0,7456.0,149.0,74.0,3521.261,2305.097
