,1,2,3,4,5,6,7,8,9,10,11,12
Nuclear,7247.438047138047,8145.683916604617,7105.207070707071,7309.484375,7219.644645340751,7188.552851182198,7230.096774193548,6851.790994623656,6993.760083449235,7759.502430555555,7684.639583333334,8249.15770006725
Solar,112.24671820872052,178.64429946760984,335.2897533967778,681.5983797038889,656.8264428480529,741.6868386733414,647.4013652302319,544.889632478965,547.1797789287205,302.97762089236113,122.99709376726041,98.48481896815063
SolarDSSC,543.0772261064379,664.5336672636605,1063.7898634305784,1534.9107774194815,1907.8781127716138,1801.2068071910312,1727.4342867504954,1551.1405214339597,1536.1172465175969,1139.317103793031,655.5144517185264,520.0234616233561
Hydro,632.0983164983165,586.9802680565897,590.4447811447811,451.98541666666665,452.5205146036161,369.66898470097357,387.9516129032258,295.619623655914,157.6682892906815,177.75347222222223,579.5465277777778,841.9932750504371
SolarUtility,73.78628914741051,140.88477289650038,281.566835016835,576.4881944444444,702.528164116829,879.0719749652295,811.5611559139785,652.9166666666666,597.4753129346315,298.1717013888889,123.15625,102.58305312710155
SolarUtilityDSSC,359.80151017073234,562.3295540224557,920.0289684153578,1362.1794447280015,2253.0381214967706,2321.0919912796853,2347.3684082897043,2021.979269083976,1723.0294686247237,1136.8645267267068,688.8069974185572,561.9008281388071
WindOffShore,2002.0451729243262,1633.3979950354428,1795.0566764309765,1142.0045138888888,1618.1685006954103,1224.2475660639777,1321.2440127688171,1219.8077741935483,1189.5993720445063,1324.719121875,2623.253129861111,2938.646854741089
WindOnShore,2196.7940050615157,1861.1637833201787,1874.2181329966331,1198.909375,2455.836931154381,1632.2969401947148,1653.02929905914,1715.3488333333335,1482.1864492350487,1667.560378472222,3140.942507638889,3624.12161062542
PumpedStorage,311.8740740740741,332.7271034996277,309.241609772435,275.8985214521441,324.35448461150764,292.11514642545205,293.5105136972144,285.79584155666066,316.1233214740751,332.87152777777777,354.1166666666667,336.70895379003025
Coal,12017.695354502035,13951.407657207306,12520.232565248996,9172.38732366615,4487.271707416542,4052.120480374552,3886.2381837634553,3512.579618101338,4214.652560191614,6981.979039426642,6627.602503448482,5470.588655218042
Gas,8000.106829993232,10037.754470862497,8700.343042825703,8317.285854104779,8203.978731433399,9478.859993374805,9155.142983482052,9246.389678001955,10779.061424123493,10326.085180112646,10563.278002292807,9356.237701637054
